ekicode,groupcode,name,noriire,ido,keido
2400120,2400120,飛田給,2,139.523666,35.660121
2400121,2400121,武蔵野台,2,139.511289,35.664159
2400122,2400122,多磨霊園,2,139.502615,35.666197
2400123,2400123,東府中,3,139.495257,35.668766
2400124,2400124,府中,8,139.4799,35.672245
2400125,1130321,分倍河原,4,139.468798,35.668493
2400126,2400126,中河原,2,139.457602,35.659549
2400127,2400127,聖蹟桜ヶ丘,2,139.446979,35.650814
2400128,2400128,百草園,2,139.431285,35.657362
2400129,2400129,高幡不動,5,139.412953,35.662361
2400130,2400130,南平,2,139.392008,35.654559
2400131,2400131,平山城址公園,2,139.379926,35.647371
2400132,2400132,長沼,4,139.365849,35.642788
2400133,2400133,北野,3,139.354489,35.644479
2400134,2400134,京王八王子,1,139.343851,35.657416
2400201,2400118,調布,8,139.543988,35.652181
2400202,2400202,京王多摩川,1,139.536606,35.644499
2400204,2400204,京王よみうりランド,1,139.517597,35.632934
2400205,2400205,稲城,3,139.500398,35.636166
2400207,2400207,京王永山,1,139.448204,35.630102
2400208,2400208,京王多摩センター,2,139.42402,35.62518
2400209,2400209,京王堀之内,2,139.400314,35.624438
2400210,2400210,南大沢,2,139.3798,35.6141
2400211,2400211,多摩境,1,139.366987,35.601826
2400301,2400133,北野,3,139.354489,35.644479
2400302,2400302,京王片倉,2,139.337035,35.644343
2400303,2400303,山田,2,139.321082,35.644411
2400304,2400304,めじろ台,2,139.308446,35.643601
2400305,2400305,狭間,2,139.293808,35.640637
2400306,1131112,高尾,5,139.281551,35.641645
2400307,2400307,高尾山口,1,139.269856,35.632377
2400401,2400123,東府中,3,139.495257,35.668766
2400402,2400402,府中競馬正門前,1,139.485019,35.668288
2400501,2400129,高幡不動,5,139.412953,35.662361
2400502,2400502,多摩動物公園,3,139.404627,35.649215
2400601,1130205,渋谷,14,139.700872,35.6587
2400701,1130208,新線新宿,1,139.698812,35.68869
2400602,2400602,神泉,2,139.693579,35.657244
2400603,2400603,駒場東大前,2,139.684308,35.65868
2400604,2400604,池ノ上,2,139.67344,35.660402
2400704,2400104,笹塚,3,139.667251,35.673758
2400605,2400605,下北沢,4,139.66691,35.661539
2400606,2400606,新代田,2,139.660524,35.662593
2400607,2400607,東松原,2,139.655535,35.662634
2400608,2400106,明大前,4,139.650352,35.668758
2400609,2400609,永福町,2,139.642733,35.67629
2400610,2400610,西永福,2,139.634936,35.678918
2400611,2400611,浜田山,2,139.627528,35.681603
2400612,2400612,高井戸,5,139.615115,35.683253
2400613,2400613,富士見ヶ丘,2,139.607072,35.684805
2400614,2400614,久我山,2,139.599211,35.688138
2400615,2400615,三鷹台,2,139.589298,35.692046
2400616,2400616,井の頭公園,2,139.583112,35.697304
2400617,1131104,吉祥寺,9,139.580306,35.702291
2400702,2400102,初台,2,139.686354,35.68123
2400703,2400103,幡ヶ谷,2,139.676183,35.677061
2500101,1130208,新宿,37,139.699574,35.691435
2500102,2500102,南新宿,2,139.69867,35.683483
2500103,2500103,参宮橋,2,139.693568,35.678586
2500104,2500104,代々木八幡,2,139.688913,35.669715
2500105,2500105,代々木上原,3,139.680153,35.669159
2500106,2500106,東北沢,2,139.673014,35.665379
2500107,2400605,下北沢,4,139.667516,35.661655
2500108,2500108,世田谷代田,2,139.661557,35.65834
2500109,2500109,梅ヶ丘,2,139.653628,35.656024
2500110,2500110,豪徳寺,2,139.647381,35.653807
2500111,2500111,経堂,2,139.635993,35.650991
2500112,2500112,千歳船橋,2,139.624544,35.647616
2500113,2500113,祖師ヶ谷大蔵,2,139.609659,35.643236
2500114,2500114,成城学園前,2,139.598958,35.640114
2500115,2500115,喜多見,2,139.587445,35.636697
2500116,2500116,狛江,2,139.577127,35.632001
2500117,2500117,和泉多摩川,1,139.573695,35.627349
2500125,2500125,鶴川,1,139.481759,35.583077
2500126,2500126,玉川学園前,2,139.463388,35.563486
2500127,1130611,町田,3,139.445236,35.544222
2500306,2400207,小田急永山,1,139.447943,35.629972
2500307,2400208,小田急多摩センター,2,139.424298,35.624902
2500308,2500308,唐木田,1,139.411622,35.616672
2600101,1130205,渋谷,14,139.702417,35.659545
2600102,2600102,代官山,2,139.703284,35.648193
2600103,2600103,中目黒,3,139.698621,35.643854
2600104,2600104,祐天寺,2,139.690758,35.637163
2600105,2600105,学芸大学,2,139.68522,35.628786
2600106,2600106,都立大学,2,139.676393,35.617835
2600107,2600107,自由が丘,4,139.668664,35.607224
2600108,2600108,田園調布,4,139.667356,35.596815
2600109,2600109,多摩川,5,139.668723,35.589591
2600201,1130203,目黒,8,139.7155,35.633272
2600202,2600202,不動前,2,139.71469,35.626526
2600203,2600203,武蔵小山,2,139.704524,35.620538
2600204,2600204,西小山,2,139.698694,35.615455
2600205,2600205,洗足,4,139.694367,35.61043
2600206,2600206,大岡山,4,139.685909,35.607456
2600207,2600207,奥沢,2,139.672355,35.603947
2600208,2600108,田園調布,4,139.667356,35.596815
2600209,2600109,多摩川,5,139.668723,35.589591
2600301,1130205,渋谷,14,139.702148,35.65802
2600302,2600302,池尻大橋,2,139.684319,35.650603
2600303,2600303,三軒茶屋,3,139.670156,35.643716
2600304,2600304,駒沢大学,2,139.661702,35.633471
2600305,2600305,桜新町,2,139.644779,35.631666
2600306,2600306,用賀,2,139.633928,35.626436
2600307,2600307,二子玉川,2,139.626685,35.611788
2600323,2600323,つくし野,1,139.485139,35.527559
2600324,2600324,すずかけ台,2,139.481684,35.517094
2600325,2600325,南町田グランベリーパーク,1,139.470318,35.511502
2600401,1133228,大井町,5,139.735025,35.607535
2600402,2600402,下神明,2,139.726256,35.608704
2600403,2600403,戸越公園,2,139.718159,35.608856
2600404,2600404,中延,6,139.712526,35.60571
2600405,2600405,荏原町,2,139.707571,35.60382
2600406,2600406,旗の台,4,139.702286,35.604923
2600407,2600407,北千束,2,139.693303,35.606311
2600408,2600206,大岡山,4,139.685909,35.607456
2600409,2600409,緑が丘,2,139.679482,35.60638
2600410,2600107,自由が丘,4,139.668664,35.607224
